Name,Year ,Day,Episodes,Network,Content_Rating,Cast,Genre,Rank,Rating
Move to Heaven,2021, Friday,10,Netflix ,18+ Restricted (violence & profanity) ,"Lee Je Hoon, Tang Jun Sang, Hong Seung Hee, Jung Suk Yong, Jung Young Joo, Lee Moon Shik","Life,  Drama,  Family ",1,9.2
Hospital Playlist,2020, Thursday,12,"Netflix,  tvN ",15+ - Teens 15 or older ,"Jo Jung Suk, Yoo Yeon Seok, Jung Kyung Ho, Kim Dae Myung, Jeon Mi Do, Shin Hyun Bin","Friendship,  Romance,  Life,  Medical ",2,9.1
Flower of Evil,2020," Wednesday, Thursday",16,tvN ,15+ - Teens 15 or older ,"Lee Joon Gi, Moon Chae Won, Jang Hee Jin, Seo Hyun Woo, Nam Ki Ae, Son Jong Hak","Thriller,  Romance,  Crime,  Melodrama ",3,9.1
Hospital Playlist 2,2021, Thursday,12,"Netflix,  tvN ",15+ - Teens 15 or older ,"Jo Jung Suk, Yoo Yeon Seok, Jung Kyung Ho, Kim Dae Myung, Jeon Mi Do, Shin Hyun Bin","Friendship,  Romance,  Life,  Medical ",4,9.1
My Mister,2018," Wednesday, Thursday",16,tvN ,15+ - Teens 15 or older ,"Lee Sun Kyun, IU, Park Ho San, Song Sae Byuk, Lee Ji Ah, Kim Young Min","Psychological,  Life,  Drama,  Family ",5,9.1
Prison Playbook,2017," Wednesday, Thursday",16,"Netflix,  tvN ",15+ - Teens 15 or older ,"Park Hae Soo, Jung Kyung Ho, Krystal Jung, Im Hwa Young, Ye Soo Jung, Kim Kyung Nam","Comedy,  Crime,  Life,  Drama ",6,9.1
Reply 1988,2015," Friday, Saturday",20,tvN ,15+ - Teens 15 or older ,"Lee Hye Ri, Go Kyung Pyo, Ryu Joon Yeol, Park Bo Gum, Lee Dong Hwi, Sung Dong Il","Comedy,  Romance,  Youth,  Family ",7,9
It's Okay to Not Be Okay,2020," Saturday, Sunday",16,"Netflix,  tvN ",15+ - Teens 15 or older ,"Kim Soo Hyun, Seo Yea Ji, Oh Jung Se, Park Gyu Young, Jang Young Nam, Kim Chang Wan","Psychological,  Comedy,  Romance,  Drama ",8,9
Mr. Queen,2020," Saturday, Sunday",20,tvN ,15+ - Teens 15 or older ,"Shin Hye Sun, Kim Jung Hyun, Bae Jong Ok, Kim Tae Woo, Jo Yun Hee, Seol In Ah","Historical,  Mystery,  Comedy,  Romance ",9,9
Mother,2018," Wednesday, Thursday",16,tvN ,15+ - Teens 15 or older ,"Lee Bo Young, Heo Yool, Lee Hye Young, Go Sung Hee, Lee Jae Yoon, Go Bo Gyeol","Thriller,  Mystery,  Psychological,  Melodrama ",10,9
Signal,2016," Friday, Saturday",16,tvN ,15+ - Teens 15 or older ,"Lee Je Hoon, Kim Hye Soo, Jo Jin Woong, Kim Won Hae, Lee Yoo Joon, Jang Hyun Sung","Thriller,  Mystery,  Sci-Fi ",11,9
Navillera,2021," Monday, Tuesday",12,"Netflix,  tvN ",15+ - Teens 15 or older ,"Park In Hwan, Song Kang, Na Moon Hee, Hong Seung Hee, Kim Tae Hoon, Yoon  Ji Hye","Friendship,  Life,  Drama,  Family ",12,9
Happiness,2021," Friday, Saturday",12,tvN ,15+ - Teens 15 or older ,"Han Hyo Joo, Park Hyung Sik, Jo  Woo Jin, Lee Joon Hyuk, Park Joo Hee, Baek Hyun Jin","Action,  Thriller,  Drama,  Fantasy ",13,9
Vincenzo,2021," Saturday, Sunday",20,"Netflix,  tvN ",15+ - Teens 15 or older ,"Song Joong Ki, Jeon Yeo Been, Ok Taec Yeon, Kim Yeo Jin, Jo Han Chul, Kwak Dong Yeon","Comedy,  Law,  Crime,  Drama ",14,9
Crash Landing on You,2019," Sunday, Saturday",16,"Netflix,  tvN ",15+ - Teens 15 or older ,"Hyun Bin, Son Ye Jin, Seo Ji Hye, Kim Jung Hyun, Yang Kyung Won, Lee Shin Young","Military,  Comedy,  Romance,  Political ",15,9
SKY Castle,2018," Friday, Saturday",20,jTBC ,15+ - Teens 15 or older ,"Yeom Jung Ah, Lee Tae Ran, Yoon Se Ah, Oh Na Ra, Kim Seo Hyung, Jung Joon Ho","Mystery,  Psychological,  Drama,  Family ",16,8.9
Kingdom,2020, Friday,6,Netflix ,18+ Restricted (violence & profanity) ,"Joo Ji Hoon, Bae Doo Na, Kim Sung Gyu, Ryu Seung Ryong, Kim  Sang Ho, Jun Suk Ho","Thriller,  Historical,  Horror,  Supernatural ",17,8.9
Mr. Sunshine,2018," Saturday, Sunday",24,"Netflix,  tvN ",15+ - Teens 15 or older ,"Lee Byung Hun, Kim Tae Ri, Kim Min Jung, Yoo Yeon Seok, Byun Yo Han, Kim Gab Soo","Military,  Historical,  Romance,  Melodrama ",18,8.9
Healer,2014," Monday, Tuesday",20,KBS2 ,15+ - Teens 15 or older ,"Ji Chang Wook, Park Min Young, Yoo Ji Tae, Kim  Mi Kyung, Park Sang Won, Do Ji Won","Action,  Thriller,  Mystery,  Romance ",19,8.9
